iter	Passed	Remaining
0	149	148982
1	149	74801
2	150	49999
3	150	37589
4	151	30149
5	152	25185
6	153	21839
7	154	19200
8	155	17121
9	156	15453
10	156	14082
11	157	12940
12	157	11974
13	158	11162
14	159	10450
15	160	9859
16	161	9312
17	162	8860
18	163	8423
19	164	8063
20	165	7705
21	165	7372
22	166	7067
23	166	6786
24	167	6529
25	167	6291
26	168	6070
27	168	5865
28	169	5678
29	170	5508
30	170	5343
31	171	5187
32	172	5042
33	172	4903
34	173	4773
35	173	4649
36	174	4531
37	174	4421
38	175	4315
39	175	4215
40	176	4122
41	176	4034
42	177	3948
43	178	3867
44	178	3791
45	179	3716
46	179	3643
47	180	3574
48	180	3508
49	181	3444
50	181	3385
51	182	3328
52	183	3272
53	183	3218
54	184	3165
55	184	3114
56	185	3064
57	185	3017
58	186	2971
59	186	2926
60	187	2883
61	187	2842
62	188	2803
63	189	2764
64	189	2726
65	190	2690
66	190	2654
67	191	2619
68	191	2586
69	192	2553
70	192	2521
71	193	2489
72	193	2459
73	194	2430
74	194	2402
75	195	2375
76	195	2348
77	196	2321
78	196	2295
79	197	2270
80	197	2245
81	198	2221
82	198	2194
83	199	2172
84	199	2149
85	200	2128
86	200	2108
87	201	2087
88	202	2067
89	202	2047
90	202	2027
91	203	2008
92	204	1989
93	204	1971
94	205	1953
95	205	1937
96	206	1919
97	206	1903
98	207	1887
99	207	1871
100	208	1854
101	208	1839
102	209	1823
103	209	1808
104	210	1793
105	210	1778
106	211	1764
107	211	1749
108	212	1736
109	212	1722
110	213	1709
111	214	1696
112	214	1683
113	215	1671
114	215	1658
115	216	1646
116	216	1633
117	216	1621
118	217	1610
119	218	1599
120	218	1587
121	219	1577
122	219	1567
123	220	1557
124	220	1546
125	221	1536
126	221	1525
127	222	1515
128	223	1506
129	223	1496
130	224	1486
131	224	1476
132	225	1467
133	225	1458
134	226	1450
135	227	1442
136	227	1433
137	228	1424
138	228	1416
139	229	1407
140	229	1399
141	229	1389
142	230	1381
143	230	1373
144	231	1366
145	232	1358
146	233	1352
147	233	1345
148	234	1337
149	234	1330
150	235	1322
151	235	1315
152	236	1307
153	236	1300
154	237	1293
155	237	1287
156	238	1280
157	239	1273
158	239	1267
159	240	1260
160	240	1252
161	240	1246
162	241	1239
163	241	1233
164	242	1226
165	242	1220
166	243	1214
167	244	1208
168	244	1202
169	245	1196
170	245	1191
171	246	1185
172	246	1179
173	247	1173
174	247	1167
175	248	1162
176	248	1156
177	249	1151
178	249	1146
179	250	1141
180	251	1136
181	251	1131
182	252	1126
183	252	1121
184	253	1116
185	253	1111
186	254	1106
187	255	1101
188	255	1096
189	256	1092
190	256	1088
191	257	1083
192	258	1079
193	258	1074
194	259	1071
195	260	1067
196	260	1062
197	261	1058
198	262	1054
199	262	1051
200	263	1047
201	264	1043
202	264	1039
203	265	1035
204	265	1031
205	266	1027
206	267	1023
207	267	1019
208	268	1015
209	269	1012
210	269	1009
211	270	1005
212	271	1001
213	271	998
214	272	994
215	273	991
216	273	987
217	274	983
218	275	981
219	275	978
220	276	974
221	277	971
222	277	968
223	278	965
224	279	961
225	279	958
226	280	954
227	281	952
228	281	948
229	282	945
230	282	941
231	283	938
232	283	934
233	284	931
234	285	928
235	285	924
236	286	921
237	286	918
238	288	917
239	289	915
240	289	911
241	290	909
242	290	906
243	291	902
244	291	899
245	292	896
246	292	893
247	293	890
248	294	887
249	294	884
250	295	881
251	295	878
252	296	875
253	296	872
254	297	869
255	298	866
256	298	863
257	299	860
258	299	857
259	300	854
260	301	852
261	301	849
262	302	846
263	302	843
264	303	840
265	303	837
266	304	835
267	304	832
268	305	829
269	305	827
270	306	824
271	307	821
272	307	819
273	308	816
274	308	813
275	309	811
276	309	808
277	310	805
278	310	803
279	311	800
280	312	798
281	312	796
282	313	793
283	313	790
284	314	788
285	314	786
286	315	783
287	315	781
288	316	778
289	317	776
290	317	773
291	318	771
292	318	769
293	319	766
294	319	764
295	320	761
296	320	759
297	321	757
298	321	754
299	322	752
300	323	750
301	323	748
302	325	748
303	326	747
304	326	744
305	327	742
306	327	740
307	328	737
308	329	735
309	329	733
310	330	731
311	331	730
312	331	728
313	332	726
314	333	724
315	333	722
316	334	719
317	334	717
318	335	715
319	335	713
320	336	711
321	336	709
322	337	707
323	338	706
324	339	704
325	339	702
326	340	700
327	340	698
328	341	696
329	342	694
330	342	692
331	343	690
332	343	688
333	345	687
334	345	686
335	346	684
336	346	682
337	347	680
338	347	678
339	348	676
340	349	674
341	349	672
342	350	670
343	350	669
344	351	667
345	352	665
346	352	663
347	353	662
348	353	660
349	354	658
350	355	656
351	355	654
352	356	653
353	357	651
354	357	649
355	358	648
356	358	646
357	359	644
358	360	643
359	360	641
360	361	639
361	362	638
362	362	636
363	363	634
364	363	633
365	364	631
366	365	629
367	365	628
368	366	626
369	366	624
370	367	623
371	368	622
372	369	620
373	369	619
374	370	617
375	370	615
376	371	613
377	372	612
378	372	610
379	373	609
380	374	607
381	375	606
382	375	605
383	376	603
384	376	602
385	377	600
386	378	598
387	378	597
388	379	595
389	380	595
390	381	594
391	382	593
392	382	591
393	383	589
394	384	588
395	384	586
396	385	584
397	385	583
398	386	582
399	387	581
400	388	580
401	388	578
402	389	576
403	390	575
404	390	573
405	391	572
406	391	570
407	392	569
408	393	568
409	393	566
410	394	565
411	395	563
412	395	562
413	396	560
414	396	559
415	397	557
416	398	556
417	398	555
418	399	554
419	400	552
420	400	551
421	401	549
422	402	548
423	402	547
424	403	545
425	403	544
426	404	543
427	405	542
428	406	540
429	407	539
430	407	538
431	408	537
432	409	535
433	409	534
434	410	533
435	411	532
436	412	530
437	412	529
438	413	528
439	413	526
440	414	525
441	415	524
442	415	523
443	416	521
444	418	521
445	418	520
446	419	518
447	419	517
448	420	516
449	421	514
450	421	513
451	422	511
452	422	510
453	423	509
454	425	509
455	425	508
456	426	506
457	427	505
458	427	504
459	428	502
460	429	501
461	429	500
462	430	499
463	431	498
464	432	497
465	432	495
466	433	494
467	433	493
468	434	491
469	435	490
470	435	489
471	436	488
472	437	486
473	437	485
474	438	484
475	438	482
476	439	481
477	439	480
478	440	478
479	440	477
480	441	476
481	442	475
482	442	473
483	443	472
484	443	471
485	444	470
486	445	468
487	445	467
488	446	466
489	446	465
490	447	463
491	448	462
492	448	461
493	449	460
494	450	459
495	450	458
496	451	456
497	452	455
498	452	454
499	453	453
500	454	452
501	454	451
502	455	449
503	455	448
504	456	447
505	456	446
506	457	444
507	457	443
508	458	442
509	459	441
510	459	439
511	460	438
512	460	437
513	461	436
514	462	435
515	462	433
516	463	432
517	463	431
518	464	430
519	464	429
520	465	427
521	465	426
522	468	427
523	468	425
524	469	424
525	470	423
526	470	422
527	471	421
528	471	420
529	472	419
530	473	418
531	474	416
532	474	416
533	475	414
534	475	413
535	476	412
536	477	411
537	477	410
538	478	408
539	478	407
540	479	406
541	479	405
542	480	404
543	481	403
544	481	402
545	482	400
546	482	399
547	483	398
548	483	397
549	484	396
550	484	395
551	485	394
552	486	393
553	486	391
554	487	390
555	487	389
556	488	388
557	488	387
558	489	386
559	489	384
560	490	383
561	490	382
562	491	381
563	492	380
564	492	379
565	493	378
566	493	377
567	494	376
568	494	374
569	495	373
570	495	372
571	496	371
572	496	370
573	497	369
574	498	368
575	498	367
576	499	366
577	499	364
578	500	363
579	500	362
580	501	361
581	501	360
582	502	359
583	502	358
584	503	357
585	504	356
586	504	355
587	505	354
588	505	352
589	506	351
590	506	350
591	507	349
592	507	348
593	508	347
594	509	346
595	509	345
596	510	344
597	510	343
598	511	342
599	512	341
600	512	340
601	513	339
602	513	338
603	514	337
604	514	336
605	515	335
606	515	334
607	516	333
608	517	332
609	517	331
610	518	330
611	519	329
612	519	328
613	520	327
614	520	325
615	521	324
616	521	323
617	522	322
618	522	321
619	523	320
620	524	319
621	524	318
622	525	317
623	525	316
624	526	315
625	526	314
626	527	313
627	527	312
628	528	311
629	529	310
630	529	309
631	530	308
632	530	307
633	531	306
634	531	305
635	532	304
636	532	303
637	533	302
638	533	301
639	534	300
640	535	299
641	535	298
642	536	297
643	536	296
644	537	295
645	538	294
646	538	294
647	539	293
648	539	292
649	540	291
650	541	290
651	541	289
652	542	288
653	543	287
654	543	286
655	544	285
656	544	284
657	545	283
658	545	282
659	546	281
660	546	280
661	547	279
662	548	278
663	549	277
664	549	276
665	550	275
666	550	274
667	551	273
668	551	272
669	552	271
670	552	271
671	553	270
672	553	269
673	554	268
674	555	267
675	555	266
676	556	265
677	556	264
678	557	263
679	557	262
680	558	261
681	558	260
682	559	259
683	559	258
684	560	257
685	561	256
686	561	255
687	562	255
688	562	254
689	563	253
690	563	252
691	564	251
692	565	250
693	565	249
694	566	248
695	566	247
696	567	246
697	567	245
698	568	244
699	568	243
700	569	242
701	569	241
702	570	240
703	570	240
704	571	239
705	572	238
706	572	237
707	573	236
708	573	235
709	574	234
710	574	233
711	575	232
712	576	231
713	576	230
714	577	230
715	577	229
716	578	228
717	578	227
718	579	226
719	580	225
720	580	224
721	581	223
722	581	222
723	582	222
724	583	221
725	583	220
726	584	219
727	584	218
728	585	217
729	586	216
730	586	215
731	587	214
732	587	214
733	588	213
734	588	212
735	589	211
736	589	210
737	590	209
738	591	208
739	591	207
740	592	207
741	592	206
742	593	205
743	593	204
744	594	203
745	594	202
746	595	201
747	595	200
748	596	199
749	597	199
750	597	198
751	598	197
752	598	196
753	599	195
754	599	194
755	600	193
756	601	192
757	601	192
758	602	191
759	602	190
760	603	189
761	603	188
762	604	187
763	605	186
764	605	186
765	606	185
766	606	184
767	607	183
768	607	182
769	608	181
770	608	180
771	609	180
772	610	179
773	610	178
774	611	177
775	611	176
776	612	175
777	612	174
778	613	174
779	614	173
780	614	172
781	615	171
782	615	170
783	616	169
784	617	169
785	617	168
786	618	167
787	619	166
788	619	165
789	620	164
790	620	164
791	621	163
792	622	162
793	623	161
794	623	160
795	624	160
796	624	159
797	625	158
798	626	157
799	626	156
800	627	155
801	628	155
802	628	154
803	629	153
804	629	152
805	630	151
806	631	150
807	631	150
808	632	149
809	632	148
810	633	147
811	634	146
812	634	145
813	635	145
814	635	144
815	636	143
816	636	142
817	637	141
818	637	140
819	638	140
820	638	139
821	639	138
822	639	137
823	640	136
824	641	135
825	641	135
826	642	134
827	642	133
828	643	132
829	643	131
830	644	131
831	644	130
832	645	129
833	645	128
834	646	127
835	647	127
836	647	126
837	648	125
838	649	124
839	649	123
840	650	122
841	650	122
842	651	121
843	651	120
844	652	119
845	652	118
846	653	118
847	654	117
848	654	116
849	655	115
850	655	114
851	656	113
852	656	113
853	657	112
854	657	111
855	658	110
856	659	110
857	660	109
858	660	108
859	661	107
860	662	106
861	662	106
862	663	105
863	664	104
864	664	103
865	665	102
866	666	102
867	666	101
868	667	100
869	667	99
870	668	98
871	668	98
872	669	97
873	670	96
874	670	95
875	671	95
876	671	94
877	673	93
878	673	92
879	674	91
880	674	91
881	675	90
882	675	89
883	676	88
884	676	87
885	677	87
886	678	86
887	678	85
888	679	84
889	679	84
890	680	83
891	680	82
892	681	81
893	681	80
894	682	80
895	683	79
896	683	78
897	684	77
898	684	76
899	685	76
900	685	75
901	686	74
902	686	73
903	687	73
904	688	72
905	688	71
906	689	70
907	689	69
908	690	69
909	690	68
910	691	67
911	692	66
912	692	65
913	693	65
914	693	64
915	694	63
916	694	62
917	695	62
918	695	61
919	696	60
920	696	59
921	697	59
922	698	58
923	698	57
924	699	56
925	699	55
926	700	55
927	700	54
928	701	53
929	701	52
930	702	52
931	703	51
932	703	50
933	704	49
934	704	48
935	705	48
936	705	47
937	706	46
938	706	45
939	707	45
940	707	44
941	708	43
942	709	42
943	709	42
944	710	41
945	710	40
946	711	39
947	711	39
948	712	38
949	713	37
950	713	36
951	714	36
952	714	35
953	715	34
954	716	33
955	716	32
956	717	32
957	717	31
958	718	30
959	718	29
960	719	29
961	720	28
962	720	27
963	721	26
964	721	26
965	722	25
966	723	24
967	723	23
968	724	23
969	724	22
970	725	21
971	725	20
972	726	20
973	726	19
974	727	18
975	728	17
976	728	17
977	729	16
978	729	15
979	730	14
980	730	14
981	731	13
982	732	12
983	732	11
984	733	11
985	733	10
986	734	9
987	734	8
988	735	8
989	736	7
990	736	6
991	737	5
992	737	5
993	738	4
994	738	3
995	739	2
996	739	2
997	740	1
998	741	0
999	741	0
